symbol,strategy,side,pnl
TSLA,VWAPReversion,long,105010.89320377562
QQQ,VWAPReversion,short,53966.662118283704
NVDA,VWAPReversion,short,38948.14659322781
QQQ,ConsolidationBreakout,short,17328.23687952009
NVDA,ConsolidationBreakout,short,2998.893972863927
TSLA,ConsolidationBreakout,long,1497.204047551966
NVDA,ConsolidationBreakout,long,1490.1381230799723
QQQ,OpeningRangeBreakout,long,999.4784399999772
TSLA,OpeningRangeBreakout,long,-496.15453499999927
TSLA,OpeningRangeBreakout,short,-496.15453499999927
QQQ,OpeningRangeBreakout,short,-499.739219999934
NVDA,OpeningRangeBreakout,short,-499.74303499999655
NVDA,OpeningRangeBreakout,long,-499.74303499999655
QQQ,ConsolidationBreakout,long,-6545.366476922136
TSLA,VWAPReversion,short,-8972.191955611512
QQQ,VWAPReversion,long,-80936.06981258397
NVDA,VWAPReversion,long,-88441.1701236397
