strategy,symbol,side,entry_ts,exit_ts,entry,exit,qty,pnl,stop,target
OpeningRangeBreakout,NVDA,long,2025-09-22 09:49:00,2025-09-22 09:57:00,175.95,175.327655,803,-499.74303499999655,175.327655,177.19468999999998
OpeningRangeBreakout,NVDA,short,2025-09-25 09:30:00,2025-09-25 09:31:00,174.0,174.622345,803,-499.74303499999655,174.622345,172.75531
ConsolidationBreakout,NVDA,short,2025-09-22 11:12:00,2025-09-22 11:43:00,175.47,175.82094,1424,-499.73856000001206,175.82094,174.76812
ConsolidationBreakout,NVDA,long,2025-09-22 11:35:00,2025-09-22 12:02:00,175.64999,176.35258996,1423,999.7997430799805,175.29869002,176.35258996
ConsolidationBreakout,NVDA,short,2025-09-23 11:31:00,2025-09-23 12:53:00,180.0099945,179.28995452200002,1388,999.4154894639839,180.370014489,179.28995452200002
ConsolidationBreakout,NVDA,short,2025-09-23 12:48:00,2025-09-23 13:26:00,179.32001,178.60272996,1394,999.8883757599881,179.67865002,178.60272996
ConsolidationBreakout,NVDA,short,2025-09-23 13:24:00,2025-09-23 13:35:00,178.89999,178.18439004,1397,999.6931441199882,179.25778998,178.18439004
ConsolidationBreakout,NVDA,short,2025-09-24 15:15:00,2025-09-25 09:30:00,176.92999,176.22227004,1412,999.300583519988,177.28384998,176.22227004
ConsolidationBreakout,NVDA,short,2025-09-24 15:37:00,2025-09-24 15:50:00,176.81,177.16362,1413,-499.66506000000913,177.16362,176.10276
ConsolidationBreakout,NVDA,long,2025-09-26 13:35:00,2025-09-26 13:41:00,177.485,177.13003,1408,-499.7977600000122,177.13003,178.19494
ConsolidationBreakout,NVDA,long,2025-09-26 13:36:00,2025-09-26 13:39:00,177.565,177.20987,1407,-499.66791000000364,177.20987,178.27526
ConsolidationBreakout,NVDA,long,2025-09-26 15:20:00,2025-09-26 15:59:00,177.7,178.19,1406,688.9400000000128,177.34459999999999,178.4108
ConsolidationBreakout,NVDA,long,2025-09-26 15:51:00,2025-09-26 15:59:00,177.88,178.19,1405,435.5500000000032,177.52424,178.59152
ConsolidationBreakout,NVDA,long,2025-09-26 15:52:00,2025-09-26 15:59:00,177.92999,178.19,1405,365.31404999999165,177.57413002,178.64170996000001
VWAPReversion,NVDA,short,2025-09-22 09:35:00,2025-09-22 09:38:00,175.6507,175.2753566123644,1423,534.1136406054727,176.0020014,175.2753566123644
VWAPReversion,NVDA,short,2025-09-22 09:37:00,2025-09-22 09:38:00,175.72,175.3151907490062,1422,575.6387549131737,176.07144,175.3151907490062
VWAPReversion,NVDA,short,2025-09-22 09:38:00,2025-09-22 09:38:00,175.27499,175.31333176207065,1426,-54.675352712738174,175.62553998,175.31333176207065
VWAPReversion,NVDA,long,2025-09-22 09:41:00,2025-09-22 09:41:00,175.1993,174.8489014,1426,-499.66840360000776,174.8489014,175.2605234889379
VWAPReversion,NVDA,short,2025-09-22 09:49:00,2025-09-22 09:57:00,175.875,175.3655263355679,1421,723.9620771580246,176.22675,175.3655263355679
VWAPReversion,NVDA,short,2025-09-22 09:51:00,2025-09-22 09:57:00,175.8662,175.394872799149,1421,669.7559524092613,176.2179324,175.394872799149
VWAPReversion,NVDA,short,2025-09-22 09:52:00,2025-09-22 09:57:00,175.82001,175.40229531045264,1421,593.5725738467881,176.17165002,175.40229531045264
VWAPReversion,NVDA,short,2025-09-22 09:53:00,2025-09-22 09:57:00,175.625,175.40809846559588,1423,308.6508834570566,175.97625,175.40809846559588
VWAPReversion,NVDA,short,2025-09-22 09:55:00,2025-09-22 09:56:00,175.55,175.41895073846578,1424,186.61414842474323,175.9011,175.41895073846578
